iteration,squared_sum_errors
y0 - ym,0.461381288
y1 - ym,0.399834123
y2 - ym,0.212747606
y3 - ym,0.33243514
y4 - ym,0.354396306
y5 - ym,0.574327014
y6 - ym,0.636162163
y7 - ym,0.103892756
y8 - ym,0.50569182
y9 - ym,0.303075011
y10 - ym,0.266728731
y11 - ym,0.375700286
y12 - ym,0.150377581
y13 - ym,0.460849712
y14 - ym,0.365882969
y15 - ym,0.458435431
y16 - ym,0.014278945
y17 - ym,0.439456083
y18 - ym,0.449639342
y19 - ym,1.158130573
y20 - ym,0.283659291
y21 - ym,0.084844851
y22 - ym,0.239263812
y23 - ym,0.27951731
y24 - ym,0.345901097
y25 - ym,0.302394282
y26 - ym,0.252732328
y27 - ym,0.384794542
y28 - ym,0.035942317
y29 - ym,0.211046682
y30 - ym,0.229280311
y31 - ym,0.18499734
y32 - ym,0.295713457
y33 - ym,0.290247456
y34 - ym,0.223595089
y35 - ym,0.288044644
y36 - ym,1.023110095
y37 - ym,0.460950571
y38 - ym,0.669423788
y39 - ym,0.332812937
y40 - ym,0.221995436
y41 - ym,0.278416473
y42 - ym,0.132056502
y43 - ym,0.486826931
y44 - ym,0.144053737
y45 - ym,0.933155942
y46 - ym,0.882475878
y47 - ym,0.385522698
y48 - ym,0.170129807
y49 - ym,0.136323666
y50 - ym,0.133722373
y51 - ym,0.007706086
y52 - ym,0.648520022
y53 - ym,0.487438504
y54 - ym,0.525195313
y55 - ym,0.788508452
y56 - ym,0.299479296
y57 - ym,0.830769264
y58 - ym,0.126453097
y59 - ym,0.802349209
y60 - ym,0.792295262
y61 - ym,0.863484372
y62 - ym,0.359497585
y63 - ym,0.279656045
y64 - ym,0.332623577
y65 - ym,0.077162938
y66 - ym,0.390150988
y67 - ym,0.30796953
y68 - ym,0.298429389
y69 - ym,0.104866027
y70 - ym,0.500279278
y71 - ym,2.290725484
y72 - ym,0.452600659
y73 - ym,0.435913565
y74 - ym,0.210517305
y75 - ym,0.243840422
y76 - ym,0.260394133
y77 - ym,2.26089749
y78 - ym,0.11160555
y79 - ym,0.377239021
y80 - ym,0.747378601
y81 - ym,0.407160759
y82 - ym,0.226779395
y83 - ym,0.283081919
y84 - ym,0.300015011
y85 - ym,0.530701381
y86 - ym,0.517511214
y87 - ym,0.323405198
y88 - ym,0.281478156
y89 - ym,0.150984167
y90 - ym,0.280876916
y91 - ym,0.069079301
y92 - ym,2.760426713
y93 - ym,0.249316326
y94 - ym,0.136318135
y95 - ym,0.145884518
y96 - ym,0.298476552
y97 - ym,0.311285695
y98 - ym,0.22015258
y99 - ym,0.33412455
SSQ,42.38737947
